Title,Difficulty,DiscussionLink,CompanyId,Solutions,Video,Tag
Rotting Oranges,Medium,https://leetcode.com/problems/rotting-oranges/,0,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_994.java)                                                                  ,,BFS
Rotting Oranges,Medium,https://leetcode.com/problems/rotting-oranges/,1,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_994.java)                                                                  ,,BFS
Rotting Oranges,Medium,https://leetcode.com/problems/rotting-oranges/,2,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_994.java)                                                                  ,,BFS
Rotting Oranges,Medium,https://leetcode.com/problems/rotting-oranges/,3,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_994.java)                                                                  ,,BFS
Rotting Oranges,Medium,https://leetcode.com/problems/rotting-oranges/,4,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_994.java)                                                                  ,,BFS
Broken Calculator,Medium,https://leetcode.com/problems/broken-calculator/,5,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_991.java)                                                                  ,,"Math, Greedy"
Broken Calculator,Medium,https://leetcode.com/problems/broken-calculator/,6,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_991.java)                                                                  ,,"Math, Greedy"
Smallest String Starting From Leaf,Medium,https://leetcode.com/problems/smallest-string-starting-from-leaf/,7,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_988.java)                                                                  ,,"Tree, DFS"
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,0,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,1,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,5,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,8,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,9,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,7,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,10,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,4,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,11,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Vertical Order Traversal of a Binary Tree,Medium,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,12,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_987.java)                                                                  ,,Recursion
Interval List Intersections,Medium,https://leetcode.com/problems/interval-list-intersections/,1,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_986.java)                                                                  ,,Two Pointers
Interval List Intersections,Medium,https://leetcode.com/problems/interval-list-intersections/,13,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_986.java)                                                                  ,,Two Pointers
Interval List Intersections,Medium,https://leetcode.com/problems/interval-list-intersections/,5,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_986.java)                                                                  ,,Two Pointers
Interval List Intersections,Medium,https://leetcode.com/problems/interval-list-intersections/,14,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_986.java)                                                                  ,,Two Pointers
Interval List Intersections,Medium,https://leetcode.com/problems/interval-list-intersections/,15,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_986.java)                                                                  ,,Two Pointers
Interval List Intersections,Medium,https://leetcode.com/problems/interval-list-intersections/,9,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_986.java)                                                                  ,,Two Pointers
Interval List Intersections,Medium,https://leetcode.com/problems/interval-list-intersections/,7,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_986.java)                                                                  ,,Two Pointers
Interval List Intersections,Medium,https://leetcode.com/problems/interval-list-intersections/,16,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_986.java)                                                                  ,,Two Pointers
